Customer_Email,Activity_Minutes,Date
dennis.gorch88gmail.com,40,2022-01-31
dennis.gorch88gmail.com,67,2022-02-01
dennis.gorch88gmail.com,45,2022-02-02
dennis.gorch88gmail.com,10,2022-02-03
dennis.gorch88gmail.com,33,2022-02-04
dennis.gorch88gmail.com,38,2022-02-05
dennis.gorch88gmail.com,35,2022-02-06
michael.runes@gmail.com,31,2022-01-31
michael.runes@gmail.com,71,2022-02-01
michael.runes@gmail.com,55,2022-02-02
michael.runes@gmail.com,22,2022-02-03
michael.runes@gmail.com,44,2022-02-04
michael.runes@gmail.com,22,2022-02-05
michael.runes@gmail.com,56,2022-02-06
paul.james@joyodev.com,19,2022-01-31
paul.james@joyodev.com,9,2022-02-01
paul.james@joyodev.com,25,2022-02-02
paul.james@joyodev.com,16,2022-02-03
paul.james@joyodev.com,49,2022-02-04
paul.james@joyodev.com,39,2022-02-05
paul.james@joyodev.com,25,2022-02-06
jennymillton@yahoo.com,22,2022-01-31
jennymillton@yahoo.com,31,2022-02-01
jennymillton@yahoo.com,33,2022-02-02
jennymillton@yahoo.com,12,2022-02-03
jennymillton@yahoo.com,42,2022-02-04
jennymillton@yahoo.com,20,2022-02-05
jennymillton@yahoo.com,45,2022-02-06
